"id","reconcile","code","name","internal_type","user_type_id/id"
"__export__.account_account_1020204",,1020204,"(-) DETERIORO ACUMULADO DE PROPIEDADES DE INVERSIÓN",,
"__export__.account_account_10203",,10203,"ACTIVOS BIOLOGICOS",,
"__export__.account_account_1020301",,1020301,"ANIMALES VIVOS EN CRECIMIENTO",,
"__export__.account_account_1020302",,1020302,"ANIMALES VIVOS EN PRODUCCIÓN",,
"__export__.account_account_1020303",,1020303,"PLANTAS EN CRECIMIENTO",,
"__export__.account_account_1020304",,1020304,"PLANTAS EN PRODUCCIÓN",,
"__export__.account_account_1020305",,1020305,"(-) DEPRECIACIÓN ACUMULADA DE ACTIVOS BIOLÓGICOS",,
"__export__.account_account_1020306",,1020306,"(-) DETERIORO ACUMULADO DE ACTIVOS BIOLÓGICOS",,
"__export__.account_account_10204",,10204,"ACTIVO INTANGIBLE",,
"__export__.account_account_1020401",,1020401,"PLUSVALÍAS",,
"__export__.account_account_1020402",,1020402,"MARCAS, PATENTES, DERECHOS DE LLAVE, CUOTAS PATRIMONIALES Y OTROS SIMILARES",,
"__export__.account_account_1020403",,1020403,"ACTIVOS DE EXPLORACION Y EXPLOTACION",,
"__export__.account_account_1020404",,1020404,"(-) AMORTIZACIÓN ACUMULADA DE ACTIVO INTANGIBLE",,
"__export__.account_account_1020405",,1020405,"(-) DETERIORO ACUMULADO DE ACTIVO INTANGIBLE",,
"__export__.account_account_1020406",,1020406,"OTROS INTANGIBLES",,
"__export__.account_account_10205",,10205,"ACTIVOS POR IMPUESTOS DIFERIDOS",,
"__export__.account_account_1020501",,1020501,"ELIMINADO",,
"__export__.account_account_10206",,10206,"ACTIVOS FINANCIEROS NO CORRIENTES",,
"__export__.account_account_1020601",,1020601,"ACTIVOS FINANCIEROS MANTENIDOS HASTA EL VENCIMIENTO",,
"__export__.account_account_1020602",,1020602,"(-) PROVISIÓN POR DETERIORO DE ACTIVOS FINANCIEROS MANTENIDOS HASTA EL VENCIMIENTO",,
"__export__.account_account_1020603",,1020603,"DOCUMENTOS Y CUENTAS POR COBRAR",,
"__export__.account_account_1020604",,1020604,"(-) PROVISIÓN CUENTAS INCOBRABLES DE ACTIVOS FINANCIEROS NO CORRIENTES",,
"__export__.account_account_10207",,10207,"OTROS ACTIVOS NO CORRIENTES",,
"__export__.account_account_1020701",,1020701,"INVERSIONES SUBSIDIARIAS",,
"__export__.account_account_1020702",,1020702,"INVERSIONES ASOCIADAS",,
"__export__.account_account_1020703",,1020703,"INVERSIONES NEGOCIOS CONJUNTOS",,
"__export__.account_account_1020704",,1020704,"OTRAS INVERSIONES",,
"__export__.account_account_1020705",,1020705,"(-) PROVISIÓN VALUACIÓN DE INVERSIONES",,
"__export__.account_account_1020706",,1020706,"OTROS ACTIVOS NO CORRIENTES",,
"__export__.account_account_2",,2,"PASIVO",,
"__export__.account_account_201",,201,"PASIVO CORRIENTE",,
"__export__.account_account_20101",,20101,"PASIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN RESULTADO",,
"__export__.account_account_20102",,20102,"PASIVOS POR CONTRATOS DE ARRENDAMIENTO FINANCIEROS",,
"__export__.account_account_20103",,20103,"CUENTAS Y DOCUMENTOS POR PAGAR",,
"__export__.account_account_2010301",,2010301,"CUENTAS Y DOCUMENTOS POR PAGAR LOCALES",,
"__export__.account_account_2010302",,2010302,"CUENTAS Y DOCUMENTOS POR PAGAR DEL EXTERIOR",,
"__export__.account_account_20104",,20104,"OBLIGACIONES CON INSTITUCIONES FINANCIERAS",,
"__export__.account_account_2010401",,2010401,"OBLIGACIONES CON INSTITUCIONES FINANCIERAS LOCALES",,
"__export__.account_account_2010402",,2010402,"OBLIGACIONES CON INSTITUCIONES FINANCIERAS DEL EXTERIOR",,
"__export__.account_account_20105",,20105,"PROVISIONES",,
"__export__.account_account_2010501",,2010501,"PROVISIONES LOCALES",,
"__export__.account_account_2010502",,2010502,"PROVISIONES DEL EXTERIOR",,
"__export__.account_account_20106",,20106,"PORCIÓN CORRIENTE DE OBLIGACIONES EMITIDAS",,
"__export__.account_account_20107",,20107,"OTRAS OBLIGACIONES CORRIENTES",,
"__export__.account_account_2010701",,2010701,"CON LA ADMINISTRACIÓN TRIBUTARIA",,
"__export__.account_account_2010702",,2010702,"IMPUESTO A LA RENTA POR PAGAR DEL EJERCICIO",,
"__export__.account_account_2010703",,2010703,"CON EL IESS",,
"__export__.account_account_2010704",,2010704,"POR BENEFICIOS DE LEY A EMPLEADOS",,
"__export__.account_account_2010705",,2010705,"PARTICIPACIÓN TRABAJADORES POR PAGAR DEL EJERCICIO",,
"__export__.account_account_2010706",,2010706,"DIVIDENDOS POR PAGAR",,
"__export__.account_account_20108",,20108,"CUENTAS POR PAGAR DIVERSAS – RELACIONADAS",,
"__export__.account_account_20109",,20109,"OTROS PASIVOS FINANCIEROS",,
"__export__.account_account_20110",,20110,"ANTICIPOS DE CLIENTES",,
"__export__.account_account_20111",,20111,"PASIVOS DIRECTAMENTE ASOCIADOS CON LOS ACTIVOS NO CORRIENTES Y OPERACIONES DISCONTINUADAS",,
"__export__.account_account_20112",,20112,"PORCIÓN CORRIENTE DE PROVISIONES POR BENEFICIOS A EMPLEADOS",,
"__export__.account_account_2011201",,2011201,"JUBILACIÓN PATRONAL",,
"__export__.account_account_2011202",,2011202,"OTROS BENEFICIOS A LARGO PLAZO PARA LOS EMPLEADOS",,
"__export__.account_account_20113",,20113,"OTROS PASIVOS CORRIENTES",,
"__export__.account_account_202",,202,"PASIVO NO CORRIENTE",,
"__export__.account_account_20201",,20201,"PASIVOS POR CONTRATOS DE ARRENDAMIENTO FINANCIERO",,
"__export__.account_account_20202",,20202,"CUENTAS Y DOCUMENTOS POR PAGAR",,
"__export__.account_account_2020201",,2020201,"LOCALES",,
"__export__.account_account_2020202",,2020202,"DEL EXTERIOR",,
"__export__.account_account_20203",,20203,"OBLIGACIONES CON INSTITUCIONES FINANCIERAS",,
"__export__.account_account_2020301",,2020301,"LOCALES",,
"__export__.account_account_2020302",,2020302,"DEL EXTERIOR",,
"__export__.account_account_20204",,20204,"CUENTAS POR PAGAR DIVERSAS / RELACIONADAS",,
"__export__.account_account_2020401",,2020401,"LOCALES",,
"__export__.account_account_2020402",,2020402,"DEL EXTERIOR",,
"__export__.account_account_20205",,20205,"OBLIGACIONES EMITIDAS",,
"__export__.account_account_20206",,20206,"ANTICIPOS DE CLIENTES",,
"__export__.account_account_20207",,20207,"PROVISIONES POR BENEFICIOS A EMPLEADOS",,
"__export__.account_account_2020701",,2020701,"JUBILACIÓN PATRONAL",,
"__export__.account_account_2020702",,2020702,"OTROS BENEFICIOS NO CORRIENTES PARA LOS EMPLEADOS",,
"__export__.account_account_20208",,20208,"OTRAS PROVISIONES",,
"__export__.account_account_20209",,20209,"PASIVO DIFERIDO",,
"__export__.account_account_2020901",,2020901,"INGRESOS DIFERIDOS",,
"__export__.account_account_2020902",,2020902,"PASIVOS POR IMPUESTOS DIFERIDOS",,
"__export__.account_account_20210",,20210,"OTROS PASIVOS NO CORRIENTES",,
"__export__.account_account_3",,3,"PATRIMONIO NETO",,
"__export__.account_account_30",,30,"PATRIMONIO ATRIBUIBLE A LOS PROPIETARIOS DE LA CONTROLADORA",,
"__export__.account_account_301",,301,"CAPITAL",,
"__export__.account_account_30101",,30101,"CAPITAL SUSCRITO o ASIGNADO",,
"__export__.account_account_30102",,30102,"(-) CAPITAL SUSCRITO NO PAGADO, ACCIONES EN TESORERÍA",,
"__export__.account_account_302",,302,"APORTES DE SOCIOS O ACCIONISTAS PARA FUTURA CAPITALIZACIÓN",,
"__export__.account_account_303",,303,"PRIMA POR EMISION PRIMARIA DE ACCIONES",,
"__export__.account_account_304",,304,"RESERVAS",,
"__export__.account_account_30401",,30401,"RESERVA LEGAL",,
"__export__.account_account_30402",,30402,"RESERVAS FACULTATIVA Y ESTATUTARIA",,
